term_str|n|n_chars|p|i|max_pos|max_pos_group|stop|porter_stem|song_dfidf|album_dfidf|anger|anticipation|disgust|fear|joy|negative|positive|sadness|surprise|trust|sentiment
pray|32|4|0.0001661414174978|12.55530061106455|VBP|VB|0|pray|85.24568474593272|36.07881826672897|0|1|0|1|1|0|1|0|1|1|1
present|15|7|7.787878945209675e-05|13.648410015456031|JJ|JJ|0|present|24.93410970956636|14.672312790735724|0|1|0|0|1|0|1|0|1|1|1
pretty|33|6|0.0001713333367946|12.510906491706098|RB|RB|0|pretti|135.0932098299901|44.35863987124021|0|1|0|0|1|0|1|0|0|1|1
quiet|41|5|0.000212868691169|12.197748606446469|JJ|JJ|0|quiet|131.3119053533804|44.89994392291585|0|0|0|0|0|0|1|1|0|0|1
rave|16|4|8.307070874890321e-05|13.55530061106455|VBP|VB|0|rave|9.89633240390994|6.475733430966398|1|0|1|0|1|1|1|0|1|1|0
real|104|4|0.0005399596068678|10.854860892923458|JJ|JJ|0|real|220.92583331537736|46.422917272061824|0|0|0|0|0|0|1|0|0|1|1
reconciliation|2|14|1.03838385936129e-05|16.555300611064553|NN|NN|0|reconcili|9.89633240390994|6.475733430966398|0|1|0|0|1|0|1|0|0|1|1
regret|23|6|0.0001194141438265|13.03173865500754|VB|VB|0|regret|85.24568474593272|34.689251162942895|0|0|0|0|0|1|0|1|0|0|-1
remains|12|7|6.23030315616774e-05|13.970338110343397|VBZ|VB|0|remain|49.62284237296636|25.678649562361556|0|0|1|1|0|1|1|0|0|1|0
rising|15|6|7.787878945209675e-05|13.648410015456031|VBG|VB|0|rise|70.8059086379991|29.75227586571677|0|1|0|0|1|0|1|0|0|0|1
romance|22|7|0.0001142222245297|13.095868992427254|NN|NN|0|romanc|49.62284237296636|20.76902668039518|0|1|0|1|1|0|1|1|1|1|1
ruin|11|4|5.711111226487095e-05|14.095868992427254|NN|VB|0|ruin|43.86821941913272|23.344625581471448|0|0|0|1|0|1|0|1|0|0|-1
