term_str|n|n_chars|p|i|max_pos|max_pos_group|stop|porter_stem|song_dfidf|album_dfidf
abused|6|6|3.11515157808387e-05|14.970338110343395|VBN|VB|0|abus|31.58532961563977|17.90293372386559
abyssal|1|7|5.191919296806451e-06|17.555300611064553|NN|NN|0|abyss|9.896332403909941|6.475733430966398
acc|4|3|2.0767677187225803e-05|15.55530061106455|JJ|JJ|0|acc|9.896332403909941|6.475733430966398
accelerate|6|10|3.11515157808387e-05|14.970338110343395|VBP|VB|0|acceler|17.792664807819882|10.951466861932795
accelerating|2|12|1.0383838593612901e-05|16.555300611064553|NN|NN|0|acceler|9.896332403909941|6.475733430966398
accent|1|6|5.191919296806451e-06|17.555300611064553|NN|NN|0|accent|9.896332403909941|6.475733430966398
accept|3|6|1.557575789041935e-05|15.970338110343395|VB|VB|0|accept|24.934109709566357|14.672312790735724
acceptance|1|10|5.191919296806451e-06|17.555300611064553|NN|NN|0|accept|9.896332403909941|6.475733430966398
accepting|2|9|1.0383838593612901e-05|16.555300611064553|VBG|VB|0|accept|17.792664807819882|10.951466861932795
accident|4|8|2.0767677187225803e-05|15.55530061106455|NN|NN|0|accid|24.934109709566357|14.672312790735724
accidental|2|10|1.0383838593612901e-05|16.555300611064553|JJ|JJ|0|accident|9.896332403909941|6.475733430966398
accidents|2|9|1.0383838593612901e-05|16.555300611064553|NNS|NN|0|accid|9.896332403909941|6.475733430966398
accompany|1|9|5.191919296806451e-06|17.555300611064553|JJ|JJ|0|accompani|9.896332403909941|6.475733430966398
according|3|9|1.557575789041935e-05|15.970338110343395|VBG|VB|0|accord|9.896332403909941|6.475733430966398
account|4|7|2.0767677187225803e-05|15.55530061106455|VB|VB|0|account|17.792664807819882|10.951466861932795
accumulate|1|10|5.191919296806451e-06|17.555300611064553|NN|NN|0|accumul|9.896332403909941|6.475733430966398
accumulation|1|12|5.191919296806451e-06|17.555300611064553|NN|NN|0|accumul|9.896332403909941|6.475733430966398
accused|1|7|5.191919296806451e-06|17.555300611064553|VBN|VB|0|accus|9.896332403909941|6.475733430966398
ace|3|3|1.557575789041935e-05|15.970338110343395|NN|NN|0|ace|24.934109709566357|14.672312790735724
ache|3|4|1.557575789041935e-05|15.970338110343395|NN|NN|0|ach|17.792664807819882|10.951466861932795
achieve|1|7|5.191919296806451e-06|17.555300611064553|VB|VB|0|achiev|9.896332403909941|6.475733430966398
achieved|1|8|5.191919296806451e-06|17.555300611064553|VBD|VB|0|achiev|9.896332403909941|6.475733430966398
achilles|1|8|5.191919296806451e-06|17.555300611064553|NNP|NN|0|achil|9.896332403909941|6.475733430966398
aching|6|6|3.11515157808387e-05|14.970338110343395|VBG|VB|0|ach|24.934109709566357|14.672312790735724
acid|1|4|5.191919296806451e-06|17.555300611064553|NN|NN|0|acid|9.896332403909941|6.475733430966398
acolytes|1|8|5.191919296806451e-06|17.555300611064553|NNS|NN|0|acolyt|9.896332403909941|6.475733430966398
acorn|1|5|5.191919296806451e-06|17.555300611064553|JJ|JJ|0|acorn|9.896332403909941|6.475733430966398
across|32|6|0.00016614141749780642|12.55530061106455|IN|IN|0|across|98.75078256521326|39.61173489546236
act|20|3|0.000103838385936129|13.23337251617719|NN|NN|0|act|70.8059086379991|29.75227586571677
acting|1|6|5.191919296806451e-06|17.555300611064553|VBG|VB|0|act|9.896332403909941|6.475733430966398
action|9|6|4.6727273671258054e-05|14.385375609622239|NN|NN|0|action|49.62284237296636|23.344625581471448
actions|2|7|1.0383838593612901e-05|16.555300611064553|NNS|NN|0|action|17.792664807819882|10.951466861932795
active|2|6|1.0383838593612901e-05|16.555300611064553|JJ|JJ|0|activ|9.896332403909941|6.475733430966398
actor|2|5|1.0383838593612901e-05|16.555300611064553|NN|NN|0|actor|9.896332403909941|6.475733430966398
actors|2|6|1.0383838593612901e-05|16.555300611064553|NN|NN|0|actor|17.792664807819882|10.951466861932795
actress|2|7|1.0383838593612901e-05|16.555300611064553|NN|NN|0|actress|17.792664807819882|10.951466861932795
actual|2|6|1.0383838593612901e-05|16.555300611064553|JJ|JJ|0|actual|17.792664807819882|10.951466861932795
actually|2|8|1.0383838593612901e-05|16.555300611064553|RB|RB|0|actual|17.792664807819882|10.951466861932795
ad|8|2|4.1535354374451605e-05|14.55530061106455|NN|NN|0|ad|17.792664807819882|10.951466861932795
ada|18|3|9.345454734251611e-05|13.385375609622239|NN|NN|0|ada|9.896332403909941|6.475733430966398
adam|1|4|5.191919296806451e-06|17.555300611064553|NNP|NN|0|adam|9.896332403909941|6.475733430966398
adderall|1|8|5.191919296806451e-06|17.555300611064553|NNP|NN|0|adderal|9.896332403909941|6.475733430966398
addict|2|6|1.0383838593612901e-05|16.555300611064553|NN|NN|0|addict|17.792664807819882|10.951466861932795
addicted|4|8|2.0767677187225803e-05|15.55530061106455|VBD|VB|0|addict|24.934109709566357|14.672312790735724
addiction|1|9|5.191919296806451e-06|17.555300611064553|NN|NN|0|addict|9.896332403909941|6.475733430966398
adding|1|6|5.191919296806451e-06|17.555300611064553|VBG|VB|0|ad|9.896332403909941|6.475733430966398
admire|2|6|1.0383838593612901e-05|16.555300611064553|NNP|NN|0|admir|9.896332403909941|6.475733430966398
admired|2|7|1.0383838593612901e-05|16.555300611064553|JJ|JJ|0|admir|17.792664807819882|10.951466861932795
admit|13|5|6.749495085848386e-05|13.854860892923458|VBP|NN|0|admit|55.17065923127954|25.678649562361553
admits|1|6|5.191919296806451e-06|17.555300611064553|VBZ|VB|0|admit|9.896332403909941|6.475733430966398
ado|1|3|5.191919296806451e-06|17.555300611064553|NN|NN|0|ado|9.896332403909941|6.475733430966398
adore|10|5|5.19191929680645e-05|14.23337251617719|VBP|VB|0|ador|43.868219419132714|20.76902668039518
adored|3|6|1.557575789041935e-05|15.970338110343395|JJ|JJ|0|ador|17.792664807819882|10.951466861932795
adrenaline|1|10|5.191919296806451e-06|17.555300611064553|NN|NN|0|adrenalin|9.896332403909941|6.475733430966398
adulation|1|9|5.191919296806451e-06|17.555300611064553|NN|NN|0|adul|9.896332403909941|6.475733430966398
adultery|1|8|5.191919296806451e-06|17.555300611064553|NN|NN|0|adulteri|9.896332403909941|6.475733430966398
adults|2|6|1.0383838593612901e-05|16.555300611064553|NNS|NN|0|adult|9.896332403909941|6.475733430966398
advance|2|7|1.0383838593612901e-05|16.555300611064553|NN|NN|0|advanc|17.792664807819882|10.951466861932795
advances|2|8|1.0383838593612901e-05|16.555300611064553|NN|NN|0|advanc|17.792664807819882|10.951466861932795
advantage|1|9|5.191919296806451e-06|17.555300611064553|NN|NN|0|advantag|9.896332403909941|6.475733430966398
advantages|14|10|7.268687015529031e-05|13.747945689006947|NNS|NN|0|advantag|9.896332403909941|6.475733430966398
adventists|1|10|5.191919296806451e-06|17.555300611064553|NNS|NN|0|adventist|9.896332403909941|6.475733430966398
adventure|1|9|5.191919296806451e-06|17.555300611064553|NN|NN|0|adventur|9.896332403909941|6.475733430966398
adversity|1|9|5.191919296806451e-06|17.555300611064553|NN|NN|0|advers|9.896332403909941|6.475733430966398
advice|14|6|7.268687015529031e-05|13.747945689006947|NN|NN|0|advic|17.792664807819882|10.951466861932795
aerophane|1|9|5.191919296806451e-06|17.555300611064553|NNP|NN|0|aerophan|9.896332403909941|6.475733430966398
aeroplane|4|9|2.0767677187225803e-05|15.55530061106455|NN|NN|0|aeroplan|24.934109709566357|14.672312790735724
aerospace|1|9|5.191919296806451e-06|17.555300611064553|JJ|JJ|0|aerospac|9.896332403909941|6.475733430966398
affairs|1|7|5.191919296806451e-06|17.555300611064553|NNS|NN|0|affair|9.896332403909941|6.475733430966398
affected|2|8|1.0383838593612901e-05|16.555300611064553|VBD|VB|0|affect|17.792664807819882|10.951466861932795
affection|6|9|3.11515157808387e-05|14.970338110343395|NN|NN|0|affect|43.868219419132714|23.344625581471448
affectionate|1|12|5.191919296806451e-06|17.555300611064553|JJ|JJ|0|affection|9.896332403909941|6.475733430966398
affiche|4|7|2.0767677187225803e-05|15.55530061106455|NNP|NN|0|affich|9.896332403909941|6.475733430966398
affinity|3|8|1.557575789041935e-05|15.970338110343395|NN|NN|0|affin|17.792664807819882|10.951466861932795
affliction|1|10|5.191919296806451e-06|17.555300611064553|NN|NN|0|afflict|9.896332403909941|6.475733430966398
afford|3|6|1.557575789041935e-05|15.970338110343395|RB|RB|0|afford|24.934109709566357|14.672312790735724
