term_str|PC0|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|PC9
anyone|-0.04956695357175148|0.014271491316760969|0.05461433660663778|0.030890888389884824|0.020785238590792947|0.039186556478991094|0.05906460362398734|0.03448876652734679|-0.05214755839537599|0.008152986865253679
anything|-0.006019576942858626|0.0023283965697454847|0.04328622403265089|-0.003970179905155443|0.0007595591573084128|-0.0051596403610961895|0.03007566907481299|0.004907526170537658|0.035665784175261055|0.005760909991635593
apartment|-0.004470905527435637|0.0018879195138759726|0.005673709872180562|0.01322750071713056|0.0022267205184877733|-0.0012733274979945803|-0.006606626006035834|0.01821157002700327|0.02109601134423239|-0.012164216265423087
apes|0.004990123635909372|-0.002142126869655343|0.00550006535862041|0.0036359349368602894|0.009376552592451457|0.0007172327380428712|0.0029210055574279956|-0.00512653338845314|2.1289609924839386e-05|-0.007931780680886577
arm|-0.04912751340499442|-0.003720334194011773|-0.02846723288905369|-0.05290562068863359|0.0428738271507501|0.004152671819647519|0.008028789396704109|0.0466529885883696|0.0025795398682550074|-0.0026673165410220625
armor|0.0018449892391431129|-8.798665089833703e-05|0.0003426901028549185|0.0022941117115864514|-0.003065961454558144|-0.009158050014552124|0.00581370153036104|0.0003963355769232551|-0.005243349818183954|-0.0037773724956130963
arms|-0.02531019937656508|-0.06554867962164612|-0.041782798046134814|-0.13874263131409337|-0.07525791483189928|-0.013711255953217948|-0.01781676591762409|0.04765227274537153|0.026878287467049393|0.05628124084894371
army|0.008592253783559985|0.00806890828476896|0.008107760847160543|-0.002447183372597517|-0.01145596520882395|0.005880936090165397|0.003267018150728503|-0.00814419360071553|0.00754102939909684|0.00517387778719749
arrest|-0.0020624403784935226|0.005312611175827988|-0.00036310182719716824|-0.00028032752266762617|-0.00372164403693599|-0.0003163676980392141|0.009960096102021983|0.006688457977587216|0.007224732257375853|-0.011810402862738014
arrival|-0.002713242711369993|-0.00034464428661169116|-0.004121848039323616|0.005475365946365365|-0.0023274237388910823|0.006165329760320558|0.0017485323058549725|0.005996224086331881|0.0032910300174743123|0.0017468410705706369
arrow|-0.019037614496668596|-0.006421124259427768|-0.017180992934226594|-0.006542786532798063|0.004580337273632379|0.002959881770254917|-0.00560677176358744|0.0029863522180184213|-0.0008830897142871771|0.007681995276513866
arrows|0.004994626977670743|-0.006729544553554768|0.0026518830031448215|-0.006972040364974872|0.002626150543800557|-0.0017508002683682832|-0.009182650536330947|0.008081869456321843|-0.007789085195268745|-0.016367719155949433
art|-0.020637615222006106|0.013734940658098677|0.009196298748299999|0.04850737501207577|0.0013965871485068226|-0.005950668329337577|-0.019758196591688544|-0.01363127210243962|-0.0007269527308967436|-0.0021712222244885393
ash|-0.012598270788330784|-0.0025388407877925292|0.0038930154682048418|-0.00048215232265787325|0.00597869946091591|0.011033650330366079|-0.008100566110660661|-0.004305513804800929|0.006863847217424873|0.006892716217942012
ashes|-0.030858796883280016|-0.05840673496088408|0.013887134905240869|0.046689200194276685|0.03190974656690548|-0.02889533474620723|-0.004594403822266819|0.03255336482735252|-0.016520334391132114|-0.010581188568367768
ashtray|-0.008290180358355357|-0.0016179226650033878|-0.007344189570376922|-0.006210191350871653|0.005781708853005808|-0.0001715330369629361|0.002136203683533534|0.004957922813758947|-0.0031050042648522362|0.0007777869892768766
asleep|-0.013155523670929342|0.005103004228077612|0.00937791241107395|-0.038357502007894194|0.014941886261912573|0.014243084943782625|-0.0046912019893238285|-0.0037018316503864748|0.00490128949944269|0.004297810715141785
ass|-0.0011065782282867601|0.014412398983821365|0.007331654399741115|-0.020976723479942685|-0.014232149454715584|-0.04698383866052331|-0.004271574939096249|0.025659700771867463|-0.014675769106423469|0.021379110945660793
attack|-0.009630486579864673|0.0022154803221788714|-0.01413295692023488|0.0004110004738684382|-0.008216769163400157|-0.0027127357610211957|-0.010511277207119904|0.013312238641666325|-0.004222860048729213|0.009994271931127632
attempt|0.003737411840723023|-0.012324784215838611|0.0030021638016218036|0.012738431757544594|0.00029440764586619863|0.010772573384495155|0.016324284333332155|0.0010806166171254583|0.005822010635343319|0.0037498516880493764
