album_id|song_num|term_str|n|max_pos|song_dfidf|anger|anticipation|disgust|fear|joy|sadness|surprise|trust|sentiment|tfidf
12|5|pain|2|NN|163.5015651304265|0.0|0.0|0.0|0.8014782604432671|0.0|0.8014782604432671|0.0|0.0|-0.8014782604432671|0.8014782604432671
12|5|young|1|JJ|131.3119053533804|0.0|0.4377063511779347|0.0|0.0|0.4377063511779347|0.0|0.4377063511779347|0.0|0.4377063511779347|0.4377063511779347
12|6|bout|3|IN|49.62284237296636|0.4340190295011635|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-0.4340190295011635|0.4340190295011635
12|6|leave|2|VB|344.3127356691418|0.0|0.0|0.0|0.0|0.0|0.1266088382677483|0.1266088382677483|0.0|-0.1266088382677483|0.1266088382677483
12|6|wait|2|VB|231.6162162154764|0.0|0.1658547914181714|0.0|0.0|0.0|0.0|0.0|0.0|-0.1658547914181714|0.1658547914181714
12|7|dance|1|NN|156.68263692511815|0.0|0.0|0.0|0.0|1.2240831009774855|0.0|0.0|1.2240831009774855|1.2240831009774855|1.2240831009774855
12|7|favorite|1|JJ|75.73643883826543|0.0|0.0|0.0|0.0|1.5778424757971965|0.0|0.0|1.5778424757971965|1.5778424757971965|1.5778424757971965
12|7|hanging|1|VBG|107.31969291886077|1.412101222616589|0.0|1.412101222616589|1.412101222616589|0.0|1.412101222616589|0.0|0.0|-1.412101222616589|1.412101222616589
12|7|heavenly|1|JJ|31.58532961563977|0.0|1.9740831009774853|0.0|0.0|1.9740831009774853|0.0|0.0|1.9740831009774853|1.9740831009774853|1.9740831009774853
13|0|bliss|1|NN|43.86821941913272|0.0|0.0|0.0|0.0|0.5222407073706276|0.0|0.0|0.0|0.5222407073706276|0.5222407073706276
13|0|broke|3|VBD|65.7440430902258|0.0|0.0|0.0|1.4088009233619811|0.0|1.4088009233619811|0.0|0.0|-1.4088009233619811|1.4088009233619811
13|0|hope|1|NN|182.9761723609032|0.0|0.3267431649301842|0.0|0.0|0.3267431649301842|0.0|0.3267431649301842|0.3267431649301842|0.3267431649301842|0.3267431649301842
13|0|love|1|NN|480.125143902306|0.0|0.0|0.0|0.0|0.1399781760648122|0.0|0.0|0.0|0.1399781760648122|0.1399781760648122
13|1|afraid|1|JJ|153.20621889921506|0.0|0.0|0.0|0.274563116306837|0.0|0.0|0.0|0.0|-0.274563116306837|0.274563116306837
13|1|death|2|NN|146.11219085468872|0.559816823198041|0.559816823198041|0.559816823198041|0.559816823198041|0.0|0.559816823198041|0.559816823198041|0.0|-0.559816823198041|0.559816823198041
