album_id|term_str|n|tfidf|max_pos|album_dfidf|anger|anticipation|disgust|fear|joy|sadness|surprise|trust|sentiment
9|hell|1|0.0151261674419619|NN|45.3785023258858|0.0151261674419619|0.0|0.0151261674419619|0.0151261674419619|0.0|0.0151261674419619|0.0|0.0|-0.0151261674419619
9|ill|4|0.0079012716950565|NNP|18.51860553528877|0.0079012716950565|0.0|0.0079012716950565|0.0079012716950565|0.0|0.0079012716950565|0.0|0.0|-0.0079012716950565
9|kind|1|0.0118058674477311|NN|47.22346979092473|0.0|0.0|0.0|0.0|0.0118058674477311|0.0|0.0|0.0118058674477311|0.0118058674477311
9|late|3|0.0388260584601318|JJ|46.914820639325946|0.0|0.0|0.0|0.0|0.0|0.0388260584601318|0.0|0.0|-0.0388260584601318
9|leave|7|0.0374291964988924|VB|37.42919649889244|0.0|0.0|0.0|0.0|0.0|0.0374291964988924|0.0374291964988924|0.0|-0.0374291964988924
9|lie|3|0.0439650537886001|NN|45.79693102979183|0.0439650537886001|0.0|0.0439650537886001|0.0|0.0|0.0439650537886001|0.0|0.0|-0.0439650537886001
9|love|16|0.0220099433970297|NN|13.584261940354294|0.0|0.0|0.0|0.0|0.0220099433970297|0.0|0.0|0.0|0.0220099433970297
9|perfect|1|0.0166673280655011|JJ|43.75173617194039|0.0|0.0166673280655011|0.0|0.0|0.0166673280655011|0.0|0.0|0.0166673280655011|0.0166673280655011
9|save|6|0.0708352046863871|VB|47.22346979092473|0.0|0.0|0.0|0.0|0.0708352046863871|0.0|0.0|0.0708352046863871|0.0708352046863871
9|shit|2|0.0322608289972656|NN|44.35863987124021|0.0322608289972656|0.0|0.0322608289972656|0.0|0.0|0.0|0.0|0.0|-0.0322608289972656
9|sing|1|0.0133470280712703|VBG|46.71459824944622|0.0|0.0133470280712703|0.0|0.0|0.0133470280712703|0.0133470280712703|0.0|0.0133470280712703|0.0133470280712703
9|steal|3|0.064041084213811|VB|37.35729912472311|0.064041084213811|0.0|0.0|0.064041084213811|0.0|0.064041084213811|0.0|0.0|-0.064041084213811
9|sun|1|0.007617371799275|NN|43.7998878458317|0.0|0.007617371799275|0.0|0.0|0.007617371799275|0.0|0.007617371799275|0.007617371799275|0.007617371799275
9|true|2|0.0229014289857271|JJ|47.23419728306216|0.0|0.0|0.0|0.0|0.0229014289857271|0.0|0.0|0.0229014289857271|0.0229014289857271
