term_str|PC0|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|PC9
banana|0.017695174273058733|0.007675042136541996|-0.018680593817665077|-0.00308544058181829|-0.0008420653051891686|-0.031276008212266226|-0.02848770880935418|-0.019633845003606938|-0.008868204155345689|-5.588970879810695e-05
band|-0.0038048169266094237|-0.0037529385187906493|-0.02464137325913716|0.002085133587317281|0.008793315174652237|-0.00043280757429173256|0.061223954797689606|-0.014223556388240445|0.057335272856943224|0.03862017958654461
bands|-0.019383733830518772|-0.043331264962038346|0.02482357846639503|0.06673513670066587|0.03791172431464584|-0.10977117105063158|0.06404466909361821|-0.04679559656403228|0.06896949323902152|0.08573969031415977
banks|-0.005789213314017711|-0.012112355338541884|0.031139369070911936|0.0016647657776569633|0.015443739676039086|-0.04626597005404135|-0.016201936151928747|0.02444983274389971|-0.00332626735788421|0.018473038053092333
bar|0.01856602578598358|-0.0371188271252943|-0.035229926714555555|-0.040291709056004175|-0.014976635005560691|0.00017208967797731518|-0.00731708167446116|0.022130700541265945|-0.0021804171289825985|-0.007828483564025447
bars|0.006245198981682215|0.0035397626183347537|0.012843729238788699|-0.0013973534288442223|-0.020489564006564705|-0.012096993748523601|-0.013366285136270724|0.008726264041342883|0.016555750469816288|-0.0038337913757578706
basement|0.0006567467207785878|0.00045956614010451275|-0.01610887173592649|-0.008081969107856935|-0.008330039187161409|-0.017012464798743764|0.015221206379082426|-0.008724100708365688|-0.03128284976657428|0.009606762413226161
bath|0.028135780901576566|0.03238512037536317|-0.001595774149106965|0.009786364501911334|0.002480222819416211|0.0007888045364198388|-0.04688835923340906|-0.016447689117435015|-0.005457769760147339|-0.007060002132247143
battle|-0.019066400831325037|0.03130457225587111|-0.008088726989022731|0.01188416475524975|0.027231713625454085|0.01313676507821159|-0.027260230817505036|0.05900829700880614|0.0006312179655204937|-0.034751810339040685
battlefields|-0.02164494343993599|0.013799992823419179|-0.006073910355055565|0.015534779349483583|0.018689152759601153|0.002094292989045324|-0.023423892259156455|0.03836873073265855|-0.003251488576628456|-0.03137110951371928
bay|-0.014440895262796283|0.016281355386305388|-0.01833172723198156|0.007329139831791075|0.006485524017711582|-0.004877945174783026|0.01955833929541207|0.0028152849766641002|-0.03189111434145459|0.0050019249009872185
